Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2000-01-03,23.237136840820312,24.034294822896886,22.997989628652185,23.835004871240635,12019200
2000-01-04,22.727279663085938,22.827487515584963,22.186153956821986,22.647112280163647,11723400
2000-01-05,22.586994171142578,23.268412549061342,22.12603570556737,22.52686907411658,8714550
2000-01-06,22.907657623291016,23.388658308294502,22.366531852662096,22.486782023912966,8369250
2000-01-07,23.328521728515625,23.56902195252094,22.767353927546193,23.28843896947177,6571950
2000-01-10,22.927701950073242,23.528952859298307,22.927701950073242,23.328535277932566,4723500
2000-01-11,22.38656234741211,22.58697797050127,21.88551961994715,22.446687401313064,8405550
2000-01-12,22.526870727539062,22.727288343960048,22.286370321782872,22.34649542322192,7271850
2000-01-13,22.867565155029297,23.248355979393303,22.62706491443257,22.807440094880114,6918900
2000-01-14,23.689266204833984,24.290516616124187,23.34855825005975,23.70930849683387,9731850
2000-01-18,22.76736068725586,23.889696622420225,22.526860391845158,23.7093214008622,5296650
2000-01-19,23.769460678100586,24.1702941316783,23.168209580297642,23.168209580297642,15734700
2000-01-20,23.749408721923828,24.3707018823914,23.328533124320114,24.17028431952754,7770300
2000-01-21,23.38865089416504,23.72935899308177,23.288443061512215,23.689276226994924,5160600
2000-01-24,23.408695220947266,23.909736262453904,23.148152631651143,23.849611190683383,6459150
2000-01-25,23.929798126220703,24.29054885174162,23.40871435653707,23.40871435653707,7579950
2000-01-26,25.152318954467773,25.332694145771036,24.05002550710183,24.17027563463734,8386650
2000-01-27,25.873825073242188,26.134365846896813,25.19240693125808,25.472990008606025,8165850
2000-01-28,24.591167449951172,25.513086319682735,24.571125137063785,25.513086319682735,7500000
2000-01-31,25.873825073242188,26.134365846896813,24.631238941690484,24.631238941690484,7160250
2000-02-01,26.85587501525879,27.096375394006994,26.074248784327125,26.43499935244943,9651000
2000-02-02,26.41496467590332,26.99617344050375,26.094296822224113,26.615380478939233,7126200
2000-02-03,26.67549705505371,27.216622852950252,25.73353794441339,26.775706759393724,9200250
2000-02-04,26.21454429626465,26.71558742119662,26.15441919466771,26.455044702652398,5115150
2000-02-07,26.354825973510742,26.735616903780677,26.214533515853972,26.354825973510742,4684200
2000-02-08,27.2767391204834,27.61744906926069,26.936031006577604,26.95607330793847,6318600
2000-02-09,26.57529067993164,27.69762511964707,26.43499818689014,27.23666669232813,9818550
2000-02-10,26.65545654296875,26.8558722816105,26.09428843805325,26.65545654296875,6880500
2000-02-11,26.495121002197266,27.256706659125477,26.294705269213658,26.695538570052904,7052550
2000-02-14,25.352733612060547,26.75565232301861,25.352733612060547,26.374859655861258,5904750
2000-02-15,25.994070053100586,26.45502826734725,25.53311000398258,25.673402432175628,8965500
2000-02-16,25.493043899536133,26.35483766185218,25.332710901729268,25.974044727829266,4829700
2000-02-17,25.132274627685547,26.134358331360286,24.951899450931823,25.853775334700444,5716200
