Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2000-01-03,92.41493225097656,94.20207103537447,91.4220773707555,94.20207103537447,8164300
2000-01-04,88.8009262084961,91.54120523729136,88.73142637805563,91.20363463229484,8089800
2000-01-05,88.9598159790039,89.93281396627427,87.21239102227348,88.92010177544185,12177900
2000-01-06,87.53003692626953,89.91288729631316,87.53003692626953,88.72146211129134,6227200
2000-01-07,92.61345672607422,92.61345672607422,88.99946677664337,89.15832347771726,8066500
2000-01-10,92.93123626708984,93.34823540418576,92.15680929819743,92.93123626708984,5741700
2000-01-11,91.8192367553711,92.83194892546709,91.18380951138928,92.6532350130972,7503700
2000-01-12,90.90575408935547,91.87875145728435,90.78661155450703,91.87875145728435,6907700
2000-01-13,92.13689422607422,92.61346436862287,91.04475431606687,91.79932370843558,5158300
2000-01-14,93.3879165649414,93.70563008079066,92.75248953324288,93.1099172385733,7437300
2000-01-18,92.65321350097656,93.16949801684142,92.2560715656959,92.35535704951607,6488500
2000-01-19,93.40780639648438,93.40780639648438,92.13695188768867,92.33552290468799,6157900
2000-01-20,91.97810363769531,93.38795798965481,91.38239053123355,93.38795798965481,5800100
2000-01-21,91.77952575683594,92.4546672271372,91.54124053202374,92.4546672271372,6244800
2000-01-24,89.17821502685547,92.67306380100968,88.58250216762464,92.55392122916352,7896900
2000-01-25,90.19097900390625,90.19097900390625,88.32441096639697,89.28748064532464,9942500
2000-01-26,89.4760971069336,89.94273898043846,89.01938378392883,89.59523971293484,5158100
2000-01-27,89.11865234375,90.36964946889621,87.76836973248105,90.1313643022017,10922700
2000-01-28,86.33863067626953,88.99948083970563,86.12020267777851,88.6023390242674,11916200
2000-01-31,88.68177795410156,88.75127778008441,85.78264235596032,86.29892677754711,10768700
2000-02-01,89.55550384521484,90.03207415392552,88.02650743810142,88.80093418975626,8419900
2000-02-02,89.6349105834961,90.3894800567289,89.19805457267711,89.77391022330214,6205900
2000-02-03,90.98522186279297,91.02493605828087,88.95979789290975,89.51579662974044,7997500
2000-02-04,90.6079330444336,91.50150240384616,90.31007659129608,90.98521788507446,4925400
2000-02-07,90.46893310546875,90.72707536411035,89.87322020091123,90.58807568638025,5845800
2000-02-08,91.70011138916016,91.85896823002489,91.26325507678217,91.48168323297116,4936400
2000-02-09,89.7739028930664,91.79932605057421,89.76397434817666,91.79932605057421,8511500
2000-02-10,89.9526138305664,90.58804068323266,89.51575786935835,89.99232800885805,6690600
2000-02-11,88.12580108642578,90.19093928223207,87.70880202765721,90.13136798812226,9849800
2000-02-14,88.64208221435547,88.82079608978763,87.88751251808631,88.82079608978763,8528800
2000-02-15,89.64486694335938,89.7342238823881,87.55987169935611,88.48322673598612,11078300
2000-02-16,88.32437896728516,89.55551914173921,88.19530781996336,89.19809134915577,8845400
2000-02-17,87.86763000488281,89.23776932021319,87.82791582182976,89.23776932021319,7584200
2000-02-18,85.9812240600586,88.24493296140886,85.54436795628924,88.24493296140886,9409200
2000-02-22,85.76280975341797,86.63652210098694,84.84938320823223,85.90180944507667,16415400
2000-02-23,86.77548217773438,87.35133778028684,85.46491425468392,86.17976948543871,12119000
2000-02-24,85.028076171875,87.07335684578979,84.57136301168045,86.85492881265327,17375000
2000-02-25,84.72029876708984,86.87479364959992,84.59122764509615,85.9017959607244,10559900
2000-02-28,86.49752807617188,86.85495587813953,84.33310416425665,84.75010326655224,13397800
2000-02-29,87.33150482177734,87.33150482177734,86.25922167935444,86.45779263165497,8242500
2000-03-01,87.9669418334961,88.3243695881243,87.19251503180166,87.45065729903314,6868000
2000-03-02,88.02650451660156,88.4037893318092,87.2719348861863,88.12578999428779,7600200
2000-03-03,89.67464447021484,90.05192928973081,88.78107516083494,89.23778836340689,12770300
2000-03-06,88.8009262084961,89.81363802348565,88.16549918732618,89.47606741848912,11967100
2000-03-07,87.08332824707031,89.05911006455601,85.9216876810109,88.9598245460894,20062000
2000-03-08,86.9740982055664,87.58966830702133,85.80252930279737,86.71595590495629,11808500
2000-03-09,89.51579284667969,89.51579284667969,86.49751411715543,87.21236960572696,5500900
2000-03-10,89.03919219970703,90.2306176082669,88.66190748699641,89.07890637999236,7924600
2000-03-13,88.06620025634766,89.25762573895891,86.21949075830024,86.85491768235956,10540500
2000-03-14,86.81522369384766,89.01936134938678,86.51736725390992,88.50307685349473,8263900
2000-03-15,88.84062957763672,89.237771417501,86.45777853845112,86.97406293027467,10300800
2000-03-16,92.99079132080078,93.30850489353895,89.51579911897714,89.99236947808438,25601400
2000-03-17,93.6053237915039,94.28218066281634,92.64976114965103,92.88865181011424,10272900
2000-03-20,93.12760162353516,93.86418162782562,92.23176107777648,93.56556811257272,12502300
2000-03-21,95.03870391845703,95.3970400455061,92.05256952638152,92.70951909263813,13612600
2000-03-22,95.61598205566406,96.09376335263178,94.7201421238496,95.2775536369786,8260000
2000-03-23,97.24844360351562,97.76604023272574,95.01879658537976,95.01879658537976,11654500
2000-03-24,97.82575225830078,99.2192814927495,96.65120618926542,97.38778592747403,11462900
2000-03-27,96.79056549072266,97.9651116371547,96.71093524350692,97.70631333370358,8798600
2000-03-28,96.2331771850586,97.45749253402035,95.93456368531183,96.3526225849573,6334400
2000-03-29,96.33272552490234,97.13898206215354,95.33734708385148,96.55170878193353,6747500
2000-03-30,94.72016906738281,96.78060149665438,93.72479108222747,95.65582437342884,9491900
2000-03-31,95.79521942138672,97.02948866580194,94.56095017697152,95.31743777838729,9249100
2000-04-03,96.35260009765625,96.35260009765625,94.72018001335711,95.63592786552492,8508200
2000-04-04,95.63594818115234,97.4674442745466,90.07178341915565,96.67114162524474,19585500
2000-04-05,95.03870391845703,96.07389717437655,94.0433257877652,94.20258628867589,8387200
2000-04-06,95.86486053466797,96.63130163747861,94.91925138184962,95.71555382632822,6378500
2000-04-07,96.47209930419922,96.91006591267886,95.87487211081788,96.55172959665006,6023600
2000-04-10,96.09381103515625,97.53710941925586,95.75538244853978,96.67113038879609,9624200
2000-04-11,95.81507873535156,96.59147351421687,94.52108743724273,95.55628047572979,9006400
2000-04-12,93.18730926513672,96.29288932182574,93.10767900727289,95.79520021017686,10779200
2000-04-13,91.89331817626953,94.38176375080023,91.59470470732585,93.94379732968282,12225800
2000-04-14,86.63773345947266,90.97758315941866,85.04512806499706,90.858137754833,29604000
2000-04-17,89.66368103027344,89.66368103027344,85.8016130640494,86.1201341334287,23918200
2000-04-18,92.03262329101562,92.03262329101562,89.04649015373413,89.54417900994771,11069200
2000-04-19,91.17662048339844,92.4507042630791,90.79837686130573,92.05255308192889,6553700
2000-04-20,91.61459350585938,91.69422374793314,90.69884572201116,91.45533302171187,8537600
2000-04-24,90.61925506591797,91.29611241922227,89.50443118988734,90.14147340476198,12893100
2000-04-25,94.38178253173828,94.38178253173828,92.01278187337995,92.13222728472574,14102000
2000-04-26,93.31671905517578,94.76001764322916,93.00815177083334,94.26232847493489,7711100
2000-04-27,93.00813293457031,93.86415813067187,91.0970069153668,91.0970069153668,15595300
2000-04-28,92.4308090209961,94.19262823235904,92.41090145928578,93.64517028532536,8743400
2000-05-01,93.68501281738281,94.59080714020281,92.9086176835371,93.36649173683072,7328300
2000-05-02,91.81370544433594,93.72483201039323,91.81370544433592,92.68963845377885,9411900
2000-05-03,89.66368103027344,91.73406798123891,89.04654645835105,91.73406798123891,12630700
2000-05-04,90.34053039550781,90.6889127846487,89.66367318231978,90.4599757860704,5963600
2000-05-05,91.43544006347656,91.73405351894186,89.78311227656853,89.86274253135929,7862400
2000-05-08,90.7486572265625,91.33593053756033,90.36045961420801,90.93777914027368,5064100
2000-05-09,90.02203369140625,91.35584091328246,89.35513008046814,91.13685763804905,5620300
2000-05-10,87.99143981933594,89.80302828620461,87.7525490324961,89.50441480265484,10293900
2000-05-11,90.00209045410156,90.14144339220789,88.6284686356249,89.26551063839669,7091100
2000-05-12,90.97755432128906,91.39561310482233,90.22106699870503,90.34051236542882,5960800
2000-05-15,92.5502700805664,92.75929951395982,90.45997574663234,90.93775730867442,4441300
2000-05-16,93.44612121582031,94.10307093889702,92.57018825171804,93.36649094635646,8192200
2000-05-17,92.4706039428711,93.12755333579139,92.03263768092424,92.80903241801185,5907200
2000-05-18,91.33589172363281,93.20720249565144,91.33589172363281,92.76923614475346,4325600
2000-05-19,89.9025650024414,91.24632566180031,89.44469099999318,90.81831300733785,6518400
2000-05-22,89.22571563720703,90.1215561556529,87.27477406370274,89.98220318611688,10839400
2000-05-23,87.91181182861328,89.7034927762073,87.63310590343198,89.46460198319475,7979200
2000-05-24,89.34514617919922,89.62385207191508,86.95623852734897,87.91180158808908,11081500
2000-05-25,87.81226348876953,90.34052407890186,87.7326332339622,89.623851785636,8278900
2000-05-26,87.91181182861328,88.9868203971697,87.48379915779915,88.42940854680711,4814000
2000-05-30,90.77851867675781,91.05722465515136,88.84748439788818,89.1859130859375,5362700
2000-05-31,90.97755432128906,91.73404164387308,90.51968041551451,90.818293832324,6056500
2000-06-01,92.57015228271484,92.64978252123761,91.09699287004369,91.5349591819189,8961600
2000-06-02,94.18267822265625,94.97898072295348,93.95374125382078,94.87944291041633,8962200
2000-06-05,93.72480773925781,94.4215724526975,93.56554723332874,93.94379093491028,6998100
2000-06-06,93.30677795410156,94.1428958704814,92.94844170422449,93.40631580128965,4858900
2000-06-07,93.95372772216797,94.28220245623211,93.00811863925601,93.40626983206104,4919500
2000-06-08,93.5854721069336,94.12297641386556,93.04796780000162,93.96371587847831,5723100
2000-06-09,93.38640594482422,94.26233897862772,92.76927130737174,93.96372544437652,3085300
2000-06-12,92.2914810180664,93.62528801293493,92.29148101806642,93.62528801293493,3678900
2000-06-13,94.02342987060547,94.1229676960031,92.13221118805042,92.25165657852757,6558700
2000-06-14,94.18267822265625,94.83962778540146,93.7646194100002,94.44147653525285,6420500
2000-06-15,94.38178253173828,94.7600263343333,93.5456646523177,94.36187496318065,5881200
2000-06-16,93.60626220703125,94.70375622139636,93.1473101646604,94.70375622139636,5567900
2000-06-19,94.80352783203125,95.24252543512632,93.38676284022442,93.52644389575468,5106900
2000-06-20,94.46428680419922,95.06291980042354,93.86565380797488,94.62392226985904,6480000
2000-06-21,94.4244155883789,94.78359552933217,93.79585069171071,93.82578235345682,3115000
2000-06-22,92.98766326904297,94.30465592478478,92.58857458548485,94.22483818807316,7490500
2000-06-23,92.18949127197266,93.30693965102687,91.8702203065286,93.10739529762434,4863300
2000-06-26,93.37677764892578,93.38675486632603,92.50875973510416,92.82803069191212,5201300
2000-06-27,92.6883544921875,93.68607628435313,92.59855953089259,93.21714704203528,4159500
